id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
395684,185178,94826,33890,11880
535663,200418,112718,39700,11272
603836,218168,62172,59996,6217
402820,234326,76969,61357,7697
414603,219585,63810,59775,6381
89476,214764,141217,43911,16751
609938,232493,75820,60195,7678
154860,184910,81292,47768,8129
194106,228542,69998,62544,7000
737633,228911,73016,59895,7302
859708,232636,55542,0,6118
111060,229163,73223,59940,7322
784750,220220,91632,56588,9163
522964,226877,70625,60252,7062
541898,228977,73091,59886,7309
606574,229912,73742,60170,7374
545630,230049,70786,63263,7079
270293,222285,72253,57975,7225
249507,221960,88600,57931,8860
736037,189703,66217,49086,6622
249923,228665,72865,59800,7286
705943,218795,86626,60169,8663
342435,216575,72179,56396,7218
124089,225611,67874,61738,6787
502184,225314,67353,61961,6735
505943,234298,100748,61349,10075
790637,223801,67550,60251,6990
388816,235262,74870,64392,7487
462432,228800,72962,59838,7296
93575,213286,155006,8885,22740
430862,224503,92603,58630,9260
471808,230317,74066,60251,7407
794417,227259,71849,59410,7185
361179,212874,113448,55026,11345
659625,226658,82669,54449,8382
617139,196364,66145,50914,6614
207220,192771,79487,49284,7949
707126,222537,74577,58142,7458
721636,233331,233331,0,23333
62662,229017,73120,59897,7312
84289,198734,186598,0,21019
563250,222399,67806,61160,6781
552498,208698,72223,56475,7222
307729,230360,74067,60293,7407
199607,218838,62963,59875,6296
784605,207831,97760,54071,9776
564485,207130,82533,56961,8253
315537,230460,74188,60272,7419
534238,204161,92259,53062,9226
530262,216108,60678,59430,6068
298994,219589,71743,57301,7174
793637,231784,75129,60655,7513
429414,187231,112343,0,16851
734510,184788,149420,14151,14942
865197,189144,189144,0,28372
767217,192733,164414,13462,16964
346699,218237,62222,60015,6222
493126,228256,108046,59688,10805
95237,216314,60828,59486,6083
378143,187212,99109,37703,9911
611067,225670,70718,58952,7072
601307,234878,82506,60008,8251
32281,197648,64805,51270,6480
636044,208834,41767,0,4177
345855,233303,76219,61084,7622
517828,222613,61060,44281,6106
113921,233581,76402,61179,7640
487555,221022,64394,60628,6439
199047,196989,64700,51090,6470
181140,229120,73229,59891,7323
671959,191110,191110,0,28666
92782,232520,73917,63332,7392
497927,219161,63167,59994,6317
727221,191378,191378,0,19138
