id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
218040,533846,295010,29501,0
350350,533853,299975,29997,0
437697,533857,290536,29769,0
353059,533885,292900,29290,0
668514,533900,291084,29110,0
273509,533901,319807,31981,0
277838,533930,297446,29938,0
608627,533931,300748,30103,0
706315,533931,294079,29518,0
741921,533940,135217,13553,0
579034,533954,314673,36732,0
175054,533956,294840,29484,0
654590,534021,534021,53437,0
155474,534023,294283,29428,0
642775,534077,294192,29419,0
612254,534097,107327,10764,0
259345,534110,297348,29735,0
269687,534157,479680,71952,0
482149,534157,357618,42629,0
27451,534173,291275,29128,0
668206,534189,292204,29220,0
511576,534192,291289,29129,0
208514,534207,298670,31207,0
699387,534217,291307,29131,0
303870,534220,291310,29131,0
47591,534245,294410,29441,0
374711,534270,291346,29135,0
279722,534284,291356,29136,0
91083,534285,295023,29502,0
297213,534324,178526,17853,0
422911,534343,297357,29736,0
133747,534347,294921,29551,0
226243,534358,319945,36318,0
382504,534396,294511,29451,0
356596,534418,294536,29454,0
471818,534446,294556,29456,0
80376,534451,348094,45103,0
162217,534454,294476,29448,0
718354,534465,296577,30038,0
438765,534515,304968,30497,0
194827,534520,294635,29464,0
548288,534576,296144,30446,0
285932,534576,294623,29462,0
679817,534599,299064,29906,0
657047,534617,299110,29911,0
105249,534630,184699,18470,0
623849,534636,345025,48237,0
600685,534663,298428,29894,0
443415,534689,300368,33030,0
790572,534692,327498,38156,0
591015,534695,297050,30126,0
51047,534727,321988,32199,0
795215,534738,412746,41275,0
37419,534740,299824,29982,0
256300,534750,294444,29444,0
275089,534756,241385,24139,0
258168,534766,296180,29618,0
193469,534805,304593,30459,0
620312,534812,360919,36113,0
112437,534816,146508,14682,0
304845,534831,325296,35010,0
170000,534839,291758,29176,0
644396,534942,341333,34133,0
51387,534950,297284,32633,0
303416,534968,323445,32345,0
8762,534974,293748,29585,0
729993,534995,165571,16557,0
276735,534999,295124,29558,0
98990,535010,295121,29556,0
361367,535039,303954,30395,0
146487,535042,292126,29213,0
636347,535091,291941,29194,0
494615,535106,291952,29195,0
746851,535109,298676,29868,0
152153,535114,295319,29532,0
516728,535117,125654,12565,0
684652,535129,296263,29776,0
229350,535137,291974,29197,0
107386,535158,292855,29443,0
744058,535173,295722,29572,0
534445,535179,445025,65430,0
471110,535217,151436,15144,0
54683,535218,316311,37874,0
704199,535219,377642,37764,0
440587,535244,311993,31199,0
356305,535283,296664,29666,0
752237,535288,296231,30377,0
395996,535289,293551,29355,0
537148,535314,297248,29725,0
789790,535336,299511,29951,0
437956,535356,304769,30477,0
643958,535357,186424,18706,0
440495,535419,156937,15694,0
122216,535446,295254,29525,0
62732,535476,343358,35465,0
141609,535476,303122,30512,0
594370,535489,294063,29406,0
186597,535516,296297,29630,0
691882,535517,292250,29225,0
149654,535518,292202,29226,0
607598,535529,295337,29534,0
460052,535535,399733,55397,0
788926,535555,292277,29228,0
105107,535560,300095,30870,0
21543,535563,305895,32505,0
406764,535590,295664,29566,0
730912,535602,306485,31107,0
747025,535609,295303,29530,0
580840,535640,350238,35024,0
325383,535651,110267,11223,0
301257,535652,292348,29235,0
642723,535678,312302,31230,0
547118,535681,292100,29586,0
259249,535684,303818,31277,0
612398,535704,296543,29654,0
121386,535715,208959,20896,0
158229,535731,302699,30270,0
339973,535732,292406,29241,0
237710,535738,342191,42709,0
301865,535754,306263,30626,0
41331,535779,107156,10716,0
631565,535810,292462,29246,0
799624,535836,292481,29248,0
338908,535866,292503,29250,0
150861,535877,318890,35963,0
580822,535901,334262,41014,0
519087,535905,107181,10718,0
308951,535911,295897,29590,0
243364,535928,355492,35549,0
312570,535944,292738,29306,0
279527,535960,292987,29299,0
702328,535969,293274,29327,0
575280,535983,296141,29614,0
664210,535984,301863,30186,0
706441,536017,295695,29569,0
625695,536029,297204,29720,0
452936,536044,379794,40036,0
640770,536045,299120,30477,0
659341,536089,295747,29575,0
159909,536102,273343,29825,0
786283,536102,295106,29953,0
703684,536106,296854,29787,0
115201,536110,295762,29576,0
165991,536190,296144,29673,0
76787,536196,323813,34468,0
422482,536208,298709,29871,0
482140,536214,306353,30676,0
693497,536230,317343,39041,0
785794,536232,296007,29645,0
112128,536235,324405,37632,0
291216,536238,300934,30093,0
628739,536276,302884,30288,0
544480,536276,295988,29633,0
470572,536282,406987,40699,0
480652,536301,305468,30547,0
517801,536303,313437,31461,0
212185,536307,296978,29698,0
517234,536310,292825,29282,0
697296,536324,292835,29283,0
649226,536325,292836,29284,0
34026,536343,292849,29285,0
85074,536360,292861,29286,0
35659,536378,295991,29599,0
355411,536384,303893,30935,0
500679,536387,295963,29596,0
150341,536408,287830,28783,0
67375,536433,296000,29600,0
183617,536446,311204,32364,0
49641,536451,292927,29293,0
369419,536453,294762,29476,0
113705,536500,292962,29296,0
84864,536501,296080,29608,0
422913,536505,308733,30873,0
412684,536516,301912,30472,0
659696,536569,310591,32856,0
47989,536585,297966,29797,0
208779,536593,296238,29624,0
84999,536626,303180,30318,0
491459,536631,293057,29306,0
137326,536631,309842,30984,0
101297,536643,297755,30046,0
549436,536665,293082,29308,0
785040,536692,293102,29310,0
713409,536729,308882,30888,0
87182,536732,296426,29681,0
502099,536735,302874,30298,0
587080,536740,296436,29644,0
597002,536750,305034,32105,0
549447,536755,296255,29626,0
722370,536762,305478,30548,0
691049,536813,293189,29319,0
726834,536815,296273,29627,0
316303,536862,293225,29322,0
10857,536862,293225,29322,0
100246,536862,293225,29322,0
150821,536880,293238,29324,0
193982,536907,294058,29406,0
619866,536926,107892,10821,0
322305,536930,299587,30089,0
716857,536937,293279,29328,0
570898,536943,293284,29328,0
464981,536948,444612,63706,0
178953,536962,301058,30106,0
708958,536963,296381,29638,0
790649,536970,306061,31083,0
